Identifier,Title#1,Description#1,Description Type#1,Description#2,Description Type#2,Description#3,Description Type#3,Subject#1,Subject Type#1,Subject#10,Subject Type#10,Subject#11,Subject Type#11,Subject#12,Subject Type#12,Subject#13,Subject Type#13,Subject#14,Subject Type#14,Subject#15,Subject Type#15,Subject#16,Subject Type#16,Subject#17,Subject Type#17,Subject#18,Subject Type#18,Subject#19,Subject Type#19,Subject#2,Subject Type#2,Subject#3,Subject Type#3,Subject#4,Subject Type#4,Subject#5,Subject Type#5,Subject#6,Subject Type#6,Subject#7,Subject Type#7,Subject#8,Subject Type#8,Subject#9,Subject Type#9,Source#1,Creator#1,Creator Type#1,Contributor#1,Contributor Type#1,Contributor#2,Contributor Type#2,Contributor#3,Contributor Type#3,Contributor#4,Contributor Type#4,Contributor#5,Contributor Type#5,Contributor#6,Contributor#7,Rights,Date#1,Format Medium#1,Format Media Type#1,Language#1,Language#2,Language#3,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME
narv_#09ExperimentalFilmWorkshop1,Experimental Film Workshop - Part 1,"Stan Brakhage gives his definition of art. He describes why he chose to go into film making. Brakhage shows his film 'Window Water Baby Moving,' and answers questions about it. Brakhage discusses the censorship of his films and argues why censorship of any kind should not exist. He shows his films 'Mothlight.' Brakhage gives his opinion of Hollywood movies and how they differ from art. Brakhage mentions the evolution of the flash frame in film. He describes his film 'The Process.' Brakhage answers questions about slapstick comedy. He describes the making of 'Window Water Baby Moving.' Continued on 'Experimental Film Workshop - Part 2.'",Abstract,00:00 Speaker 1 begins 00:21 Speaker 1 ends 00:24 Stan Brakhage begins 09:40 Brakhage ends 09:41 Questions from the audience begin 30:08 Questions from the audience end 30:09 Brakhage begins 34:20 Brakhage ends 34:21 Questions from the audience begin 48:13 Questions from the audience end 48:14 Brakhage begins 56:18 Brakhage ends 56:19 Questions from the audience begin 1:02:17 Questions from the audience end 1:02:18 Brakhage begins 1:11:34 Brakhage ends 1:11:35 Questions from the audience begin 1:30:56 End,SegmentSequence,,,Art -- Philosophy,lcsh,Motion picture industry -- United States,lcsh,Filmmaking (Motion pictures),lcsh,,,,,,,,,,,,,,,,,Slapstick comedy films,lcsh,Experimental films,lcsh,Film criticism -- Aesthetics,lcsh,Motion pictures -- Censorship -- United States -- History -- 20th century,lcsh,"Brakhage, Stan",naf,The Process (Motion picture),,Window water baby moving (Motion picture),,Mothlight (Motion picture),,narv_#09ExperimentalFilmWorkshop1,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1973-06,audio/mp3,Sound,English,,,1086017,4606,%2309+Experimental+Film+Workshop+-1.jpg
narv_#09ExperimentalFilmWorkshop2,Experimental Film Workshop - Part 2,"Continues 'Experimental Film Workshop - Part 1.' Stan Brakhage argues that Andy Warhol is not an artist, but he respects Warhol's work. Brakhage has a discussion about masturbation and free will, which leads to his Sexual Meditation films. He shows some of the Sexual Meditation series. Brakhage describes his favorite type of Hollywood movie. He states that 'The Ugly Duckling' was his favorite childhood story and explains why. Brakhage tells a personal story about meeting up with an old friend from high school. Brakhage describes the making of 'Sexual Meditation: Hotel' and plays it. He describes autobiography in film and gives some examples. Brakhage describes his film 'Sincerity.'",Abstract,00:00 Stan Brakhage begins 36:11 Brakhage ends 36:38 Brakhage begins 57:47 Brakhage ends 57:48 Questions from the audience begin 1:31:06 End,SegmentSequence,,,Art -- United States -- 20th century,lcsh,Filmmaking (Motion pictures),lcsh,Experimental films,lcsh,,,,,,,,,,,,,,,,,"Brakhage, Stan",naf,Sexual Meditation: Hotel (Motion picture),,"Warhol, Andy, 1928-1987",naf,Masturbation -- Psychological aspects,lcsh,Sexual meditations (Motion picture series),,Ugly duckling (Children's story),,Autobiographical films,lcsh,Sincerity (Motion picture),,narv_#09ExperimentalFilmWorkshop2,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1973-06,audio/mp3,Sound,English,,,1086021,4606,%2309+Experimental+Film+Workshop+-2.jpg
narv_#10BaillieWMUWorkshop2,Baillie WMU Workshop - Part 2,"Continues 'Baillie WMU Workshop-Part 1.' Bruce Baillie records himself doing everyday activities. He and Speaker 2 (a woman) have a mundane, everyday discussion. Baillie, Speaker 2, and Speaker 3 (a child) have a basic discussion that sounds like a family interaction. Baillie and Speaker 2 have another brief discussion. (Note: The audio quality is very poor. Dialogue is sparse at times, and there is also a lot of background noise.",Abstract,00:00 Bruce Baillie begins 19:05 End,SegmentSequence,,,"Baillie, Bruce, 1931-",naf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,narv_#10BaillieWMUWorkshop2,"Brakhage, Stan",naf,"Baillie, Bruce, 1931-",naf,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,English,,,1086027,4606,%2311+Baillie+WMU+Workshop+-2.jpg
narv_#10Cornell5-15-72_2,Stan Brakhage lecture at Cornell - Part 2,Continues 'Stan Brakhage lecture at Cornell - Part 1.' Stan Brakhage tells some personal stories about Joseph Cornell. He shows Cornell's film 'Portrait of June' and analyzes it. Brakhage gives brief biographies of Ken Jacobs and Jonas Mekas and describes how Jacob's film 'Blonde Cobra' was financed. He recalls seeing Blonde Cobra for the first time. Then Brakhage analyzes Jacob's film 'Window' and plays it. He describes how Jacob was arrested for showing Jack Smith's 'Flaming Creatures' and how Mekas helped Jacob. Brakhage gives his opinion of Andy Warhol's work. Brakhage talks about how Michael Snow and Hollis Frampton came to New York.,Abstract,00:00 Stan Brakhage begins 39:49 End,SegmentSequence,Course title: Comedy/Tragi-comedy in the Film - The School of the Art Institute of Chicago,Venue,Artists -- United States -- 20th century,lcsh,Portrait of June (Motion picture),,Blonde cobra (Motion picture),,Window (Motion picture),,,,,,,,,,,,,,,,Flaming creatures (Motion picture),,Experimental films -- United States,lcsh,"Cornell, Joseph",naf,"Jacobs, Ken, 1933-",naf,"Mekas, Jonas, 1922-",naf,"Warhol, Andy, 1928-1987",naf,"Snow, Michael, 1929-",naf,"Frampton, Hollis, 1936-1984",naf,narv_#10Cornell5-15-72_2,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,5/15/1972,audio/mp3,Sound,English,,,1095323,4606,%2310+Cornell+5-15-72+-2.jpg
narv_#10ExperimentalFilmWorkshop1,Experimental Film Workshop - Part 1,Stan Brakhage explains why he made 'The Act of Seeing with One's Own Eyes' and describes its creation. Brakhage analyzes one of his own dreams. He discusses autopsies used in the film and eventuality of death. Brakhage describes more details about the autopsies. He notes that he allows his children to see as many films as possible and describes other people's reactions to his child-rearing policies. Annette Michelson describes how independent films break conventions. She plays Michael Snow's 'Wavelength' and Hollis Frampton's '(nostalgia).' Michelson analyzes Wavelength. Continued on 'Experimental Film Workshop - Part 2.',Abstract,00:34 Stan Brakhage begins 03:01 Brakhage ends 03:02 Questions from the audience begin 42:46 Questions from the audience end 42:47 Annette Michelson begins 1:03:44 End,SegmentSequence,,,Filmmaking (Motion pictures),lcsh,Experimental films,lcsh,"Frampton, Hollis, 1936-1984",naf,,,,,,,,,,,,,,,,,"Brakhage, Stan",naf,Act of Seeing with One's Own Eyes (Motion picture),,Autopsy,lcsh,"Michelson, Annette",naf,"Snow, Michael, 1929-",naf,Wavelength (Motion picture),lcsh,(nostalgia) (Motion picture),,Independent filmmakers,lcsh,narv_#10ExperimentalFilmWorkshop1,"Brakhage, Stan",naf,"Michelson, Annette",naf,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,English,,,1086023,4606,%2310+Experimental+Film+Workshop+-1.jpg
narv_#10ExperimentalFilmWorkshop2,Experimental Film Workshop - Part 2,Continues 'Experimental Film Workshop - Part 1'. Annette Michelson continues analyzing Michael Snow's 'Wavelength.' Michelson analyzes Hollis Frampton's '(nostalgia).',Abstract,00:00 Annette Michelson begins 11:56 End,SegmentSequence,,,Filmmaking (Motion pictures),lcsh,,,,,,,,,,,,,,,,,,,,,Experimental films,lcsh,"Frampton, Hollis, 1936-1984",naf,"Snow, Michael, 1929-",naf,Wavelength (Motion picture),lcsh,(nostalgia) (Motion picture),,,,,,,,narv_#10ExperimentalFilmWorkshop2,"Brakhage, Stan",naf,"Michelson, Annette",naf,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,English,,,1086493,4606,%2310+Experimental+Film+Workshop+-2.jpg
narv_#11BaillieWMUWorkshop1,Baillie WMU Workshop - Part 1,This audio file is from a cassette tape on which Bruce Baillie speaks. He begins with his autobiography. Baillie then addresses Stan Brakhage. Baillie lists things he plans to put in his new film. He gives facts about a car. Continued on 'Baillie WMU Workshop - Part 2.',Abstract,00:00 Bruce Baillie begins 23:42 End,SegmentSequence,,,Filmmaking (Motion picture),lcsh,,,,,,,,,,,,,,,,,,,,,"Baillie, Bruce, 1931-",naf,,,,,,,,,,,,,,,narv_#11BaillieWMUWorkshop1,"Brakhage, Stan",naf,"Baillie, Bruce, 1931-",naf,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,English,,,1086025,4606,%2311+Baillie+WMU+Workshop+-1.jpg
narv_#12Baillie5-12-75_1,Stan Brakhage lecture on Bruce Baillie - Part 1,"Stan Brakhage explains why artists become ""obnoxious."" He addresses some concerns of the class and describes his teaching philosophy. Brakhage talks about the ""horror of the 60s."" He gives a biography of Bruce Baillie. He describes Custer's Last Stand and the treatment of Native Americans. Brakhage recalls a personal story about Baillie and then analyzes Baillie's films. Continued on 'Stan Brakhage lecture on Bruce Baillie - Part 2.'",Abstract,00:00 Stan Brakhage begins 36:45 Brakhage ends 36:56 Questions from the audience begin 40:06 Question from the audience end 40:07 Brakhage begins 1:02:09 End,SegmentSequence,"Course title: History of Film: Sex/Death, Eisenstein, Etcetera, School of the Art Institute of Chicago",Venue,"Brakhage, Stan",naf,,,,,,,,,,,,,,,,,,,,,Artists -- United States -- Attitudes,lcsh,"Baillie, Bruce, 1931-",naf,Native Americans of North America,lcsh,Independent filmmakers -- United States,lcsh,Experimental films -- United States,lcsh,Motion Pictures -- Study and teaching (Higher) -- United States,lcsh,Battle of the Little Bighorn (Motion picture),,Sixties (Twentieth century decade),lcsh,narv_#12Baillie5-12-75_1,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,5/12/1975,audio/mp3,Sound,English,,,1095327,4606,%2312+Baillie+5-12-75+-1.jpg
narv_#12Unidentified1,Sound recording #12 - Part 1,Wind can be heard in the background. Some scraping noises can be heard. A scene from Anton Chekhov's play 'The Marriage Proposal' is being rehearsed. A scene from Chekhov's play 'The Anniversary' is being rehearsed. Some soft music plays in the background. This is likely a recording of Brakhage directing the two Chekhov plays for the Yellow Door Theater. These very popular productions were performed in tents in Central City over the summer of 1953. Continued on 'Sound recording #12 - Part 2.',Abstract,00:00 Audio file begins 02:09 Audio file ends 02:10 'The Proposal' begins 07:00 'The Proposal' ends 07:01 'The Anniversary' begins 19:40 'The Anniversary' ends 19:41 Music begins 20:48 End,SegmentSequence,,,"Chekhov, Anton Pavlovich, 1860-1904. Marriage proposal",lcsh,,,,,,,,,,,,,,,,,,,,,"Chekhov, Anton Pavlovich, 1860-1904. Anniversary",lcsh,Theater rehearsals,lcsh,Theater -- Production and direction -- United States -- 20th century,lcsh,Yellow Door Theater -- Colorado,,"Brakhage, Stan",naf,,,,,,,narv_#12Unidentified1,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,1953,audio/mp3,Sound,English,,,1086029,4606,%2312+unidentified+-1.jpg
narv_#12Unidentified2,Sound recording #12 - Part 2,"Continues 'Sound recording #12 - Part 1.' Some orchestral music plays. Around 08:10 the music transmutes into a repetitive, computerized sound.",Abstract,00:00 Music begins 17:15 Music ends 19:32 Music begins 20:47 End,SegmentSequence,,,Electronic music,lcsh,,,,,,,,,,,,,,,,,,,,,Experimental music,lcsh,,,,,,,,,,,,,,,narv_#12Unidentified2,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,,,,1086031,4606,%2312+unidentified+-2.jpg
narv_#13Baillie5-12-75_2,Stan Brakhage lecture on Bruce Baillie - Part 2,Continues 'Stan Brakhage lecture on Bruce Baillie - Part 1.' Stan Brakhage describes Bruce Baillie's work. He explains why Maya Deren disliked Brakhage's film 'Window Water Baby Moving.' Brakhage continues talking about Baillie's work. He describes and compares Baillie to Don Quixote. Brakhage describes Baillie's life after making 'Quixote.',Abstract,00:00 Stan Brakhage begins 06:17 Brakhage ends 06:18 Questions from the audience begin 14:29 Questions from the audience end 14:30 Brakhage begins 33:39 End,SegmentSequence,"Course title: History of Film: Sex/Death, Eisenstein, Etcetera) - The School of the Art Institute of Chicago",Venue,"Baillie, Bruce, 1931-",naf,,,,,,,,,,,,,,,,,,,,,"Deren, Maya",naf,Artists,lcsh,Experimental films -- United States,lcsh,Window water baby moving (Motion picture),,Childbirth in art,lcsh,,,,,,,narv_#13Baillie5-12-75_2,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,5/12/1975,audio/mp3,Sound,English,,,1095328,4606,%2313+Baillie+5-12-75+-2.jpg
narv_#13Unidentified1,Sound recording #13 - Part 1,"Some blowing wind, a cat meowing, and a metal can clanking can be heard. Animal sounds are in the background. A child can be heard crying. A kitten meows in the background. Stan Brakhage makes a comment. The sound of traffic can be heard in the background while a kitten meows and hisses. Continued on 'Sound recording #13 - Part 2.'",Abstract,00:00 Audio file begins 13:16 End,SegmentSequence,,,Country sounds,lcsh,,,,,,,,,,,,,,,,,,,,,Farm sounds,lcsh,Ambient sounds,lcsh,Outdoor sounds,lcsh,,,,,,,,,,,narv_#13Unidentified1,"Brakhage, Stan",naf,,,,,,,,,,,,,This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s). URI: http://rightsstatements.org/vocab/InC/1.0/,,audio/mp3,Sound,,,,1086033,4606,%2313+unidentified+-1.jpg
