"Identifier","Identifier ARK","Title#1","Description#1","Description Type#1","Description#2","Description Type#2","Description#3","Description Type#3","Subject#1","Subject Type#1","Subject#10","Subject Type#10","Subject#11","Subject Type#11","Subject#12","Subject Type#12","Subject#13","Subject Type#13","Subject#14","Subject Type#14","Subject#15","Subject Type#15","Subject#16","Subject Type#16","Subject#17","Subject Type#17","Subject#18","Subject Type#18","Subject#19","Subject Type#19","Subject#2","Subject Type#2","Subject#3","Subject Type#3","Subject#4","Subject Type#4","Subject#5","Subject Type#5","Subject#6","Subject Type#6","Subject#7","Subject Type#7","Subject#8","Subject Type#8","Subject#9","Subject Type#9","Source#1","Creator#1","Creator Type#1","Contributor#1","Contributor Type#1","Contributor#2","Contributor Type#2","Contributor#3","Contributor Type#3","Contributor#4","Contributor Type#4","Contributor#5","Contributor Type#5","Contributor#6","Contributor Type#6","Contributor#7","Contributor Type#7","Rights#1","Rights URI#1","Date#1","Format Medium#1","Format Media Type#1","Format Media Type URI#1","Language#1","Language URI#1","Language#2","Language URI#2","Language#3","Language URI#3","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"narv_#50-23OrigForPoetryBasil Bunting2End-3.mp3","https://ark.colorado.edu/ark:/47540/nb196m23c18f","Basil Bunting reading his poems - Part 2 (End) - Part 3","Continues 'Basil Bunting reading his poems - Part 1-2 (Beginning).' Basil Bunting continues to read 'Chomei at Toyama.' The same music from the first lectures plays. Bunting then reads 'Attis: Or Something Missing' while various musical clips are played between the verses. He reads a verse from 'Odes: 36.' This is followed by more music.","Abstract","00:00 Basil Bunting begins 08:44 Bunting ends 08:48 Audio clip begins 12:00 Audio clip ends 12:54 Bunting begins 16:16 Bunting ends 16:20 Audio clip begins 19:12 Audio clip ends 19:15 Bunting begins 25:53 Bunting ends 25:54 Audio clip begins 30:37 Audio clip ends 30:38 Bunting begins 31:27 Bunting ends 31:28 Audio clip begins 35:07 End","SegmentSequence","","","Bunting, Basil","http://id.loc.gov/authorities/names/n50040475","","","","","","","","","","","","","","","","","","","","","Poetry, Modern--20th century","http://id.loc.gov/authorities/subjects/sh85103727","Literary readings (Radio programs)","local","","","","","","","","","","","","","narv_#50-23OrigForPoetryBasil Bunting2End-3","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","Bunting, Basil","http://id.loc.gov/authorities/names/n50040475","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","Undated","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","","","","","1086101","4969","%2350-23 Orig. for Poetry %28Basil Bunting%29 2end%2B3.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1086101~131835"
"narv_#50-24OrigForPoetrySalomeRilke4-5Begin.mp3","https://ark.colorado.edu/ark:/47540/n04m154095qp","Stan Brakhage on Eugene Salome, Paul Hindemith, and Rainer Maria Rilke - Part 1","Stan Brakhage reads a poem about war, which he wrote in high school. Brakhage mentions some facts about Eugene Salome. Salome recalls being a spy during World War II in an interview. Brakhage compares his own poem to Salome's interview. He describes Rainer Maria Rilke's Das Marienleben. Salome describes the inspiration for 'Das Marienleben' and reads the first elegy from Rilke's Duino Elegies. An audio clip of 'Geburt MariÃ¤' from Paul Hindemith's 'Das Marienleben' plays. Brakhage tells a personal story about Salome. Brakhage compares the first and second elegy from Duino Elegies. Salome reads the second elegy from Duino Elegies. Continued on 'Stan Brakhage on Eugene Salome and Rainer Maria Rilke - Part 2.'","Abstract","00:00 Audio clip begins 00:58 Audio clip ends 00:59 Stan Brakhage begins 02:10 Brakhage ends 02:11 Brakhage begins 05:24 Brakhage ends 05:25 Audio clip begins 14:30 Audio clip ends 14:31 Brakhage begins 22:04 Brakhage ends 22:05 Eugene Salome begins 27:59 Salome ends 28:02 Audio clip begins 32:07 Audio clip ends 32:08 Brakhage begins 38:45 Brakhage ends 38:46 Salome begins 41:24 Salome ends 41:25 Brakhage begins 43:17 Brakhage ends 43:18 Salome begins 47:45 End","SegmentSequence","","","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","","","","","","","","","","","","","","","","","","","","","Literary readings (Radio programs)","local","Salome, Eugene A.","http://id.loc.gov/authorities/names/n87822475","Rilke, Rainer Maria, 1875-1926","http://id.loc.gov/authorities/names/n79042183","German poetry--20th century","http://id.loc.gov/authorities/subjects/sh85054418","","","","","","","","","narv_#50-24OrigForPoetrySalomeRilke4-5Begin","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","Salome, Eugene A.","http://id.loc.gov/authorities/names/n87822475","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","Undated","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","German","http://id.loc.gov/vocabulary/iso639-1/de","","","1086103","4969","%2350-24 Orig. for Poetry %28Salome%2BRilke%294%2B5begin.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1086103~131836"
"narv_#50-25OrigForPoetry5End-6.mp3","https://ark.colorado.edu/ark:/47540/1w3n6b33w1bn","Stan Brakhage on Eugene Salome, Paul Hindemith, and Rainer Maria Rilke - Part 1","Continues 'Stan Brakhage on Eugene Salome, Paul Hindemith, and Rainer Maria Rilke - Part 1.' Stan Brakhage analyzes the second elegy from Rainer Maria Rilke's 'Duino Elegies.' Eugene Salome finishes reading the second elegy. Audio clips of 'MariÃ¤ Heimsuchung' and 'Argwohn Josephs' from Paul Hindemith's 'Das Marienleben' play. Brakhage summarizes 'Argwohn Josephs.' He describes Rilke's relationship with his mother and religion. Salome reads the third elegy from 'Duino Elegies.' Salome analyzes the fourth elegy and reads it. An audio clip of 'Rast auf der Flucht in Ã„gypten' from Hindemith's 'Das Marienleben' plays. Continued on 'Stan Brakhage on Eugene Salome, Paul Hindemith, and Rainer Maria Rilke - Part 3.'","Abstract","00:00 Stan Brakhage begins 06:24 Brakhage ends 06:25 Eugene Salome begins 07:22 Salome ends 07:24 Audio clip begins 11:08 Audio clip ends 11:33 Audio clip begins 13:15 Audio clip ends 13:16 Brakhage begins 19:59 Brakhage ends 20:00 Salome begins 25:13 Salome ends 25:15 Audio clip begins 29:46 Audio clip ends 29:47 Brakhage begins 30:51 Brakhage ends 30:52 Salome begins 37:28 Salome ends 37:29 Audio clip begins 41:43 End","SegmentSequence","","","Salome, Eugene A.","http://id.loc.gov/authorities/names/n87822475","","","","","","","","","","","","","","","","","","","","","Rilke, Rainer Maria, 1875-1926","http://id.loc.gov/authorities/names/n79042183","German poetry--20th century","http://id.loc.gov/authorities/subjects/sh85054418","Oral interpretation of poetry","http://id.loc.gov/authorities/subjects/sh85095241","Rilke, Rainer Maria, 1875-1926. Duineser Elegien","http://id.loc.gov/authorities/names/n83312805","Music -- 20th century","http://id.loc.gov/authorities/subjects/sh85088770","Hindemith, Paul, 1895-1963. Das Marienleben.","local","","","","","narv_#50-25OrigForPoetry5End-6","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","","","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","Undated","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","German","http://id.loc.gov/vocabulary/iso639-1/de","","","1086105","4969","%2350-25 Orig. for Poetry 5 end%2B6.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1086105~131837"
"narv_#50-26LectureOrigCocteauAnger.mp3","https://ark.colorado.edu/ark:/47540/nx4c2814p9zx","Stan Brakhage on Jean Cocteau and Kenneth Anger #26","Stan Brakhage describes how Jean Cocteau draws on poems and stage writing to make his films. Then, he notes Cocteau's and Anger's mask symbolism. Brakhage then talks about beats and rhythm. He gives some examples of tragic lovers. Brakhage then analyzes Cocteau's film 'Orpheus.' He goes into more detail about the myth of Tristan and relates it to 'The Eternal Return,' which he plays. He also analyzes Kenneth Anger's film, 'Rabbit's Moon' and plays it. Brakhage then tells the story of the making of 'Rabbit's Moon.'","Abstract","00:00 Brakhage begins 42:55 Brakhage ends 43:01 Clip from film begins 43:32 Clip from film ends 43:44 Brakhage begins 57:54 Brakhage ends 57:59 Clip from film begins 59:04 Clip from film ends 59:05 Brakhage begins 1:11:49 End","SegmentSequence","Course title: History of Film: ""I as Eye"" (Film and First Person Singular) - The School of the Art Institute of Chicago","Venue","Anger, Kenneth","http://id.loc.gov/authorities/names/n81028467","","","","","","","","","","","","","","","","","","","","","Cocteau, Jean, 1889-1963","http://id.loc.gov/authorities/names/n79007043","Orphée (Motion picture : 1950)","http://id.loc.gov/authorities/names/no2017107953","Motion pictures and literature","http://id.loc.gov/authorities/subjects/sh85088132","Masks in motion pictures","http://id.loc.gov/authorities/subjects/sh2005000284","Eternal Return (Motion picture)","local","Tristan (Legendary character)","http://id.loc.gov/authorities/names/no2020047857","Symbolism in motion pictures","http://id.loc.gov/authorities/subjects/sh97009144","Lune des lapins (Motion picture)","http://id.loc.gov/authorities/names/n93072763","narv_#50-26LectureOrigCocteauAnger","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","","","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","1975-10-20","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","","","","","1086107","4969","%2350-26 lecture orig.Cocteau%2C Anger.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1086107~131838"
"narv_#50-27LectureOrigTestamentOfOrpheusLuciferRising.mp3","https://ark.colorado.edu/ark:/47540/zg008b1190rz","Stan Brakhage on Jean Cocteau and Kenneth Anger #27","Stan Brakhage gives his thoughts on barber small talk and Eurocentric thinking and how this relates to appreciating Jean Cocteau's work. He plays 'Testament of Orpheus' and analyzes it. Brakhage discusses the music in 'Testament of Orpheus,' which leads to a discussion about music and Stravinsky. Brakhage then tells how films are unreliable testimony in court and recalls a personal story about being a witness for the trial of Dennis Banks. Brakhage notes how Cocteau and Anger use masks in their films. Brakhage describes Anger's personal beliefs and his filmmaking process. Brakhage then analyzes 'Lucifer Rising.'","Abstract","00:00 Brakhage begins 16:30 Brakhage ends 16:43 Clip from film begins 21:09 Clip from film ends 21:15 Questions from the audience begin 1:33:16 End","SegmentSequence","Course title: History of Film: ""I as Eye"" (Film and First Person Singular) - The School of the Art Institute of Chicago","Venue","Anger, Kenneth","http://id.loc.gov/authorities/names/n81028467","Masks in motion pictures","http://id.loc.gov/authorities/subjects/sh2005000284","","","","","","","","","","","","","","","","","","","Testament of Orpheus (Motion picture)","http://id.loc.gov/authorities/names/n00074279","Motion picture music","http://id.loc.gov/authorities/subjects/sh85088056","Banks, Dennis","http://id.loc.gov/authorities/names/n86025723","Witnesses","http://id.loc.gov/authorities/subjects/sh85147165","Lucifer Rising (Motion picture)","local","Stravinsky, Igor, 1882-1971","http://id.loc.gov/authorities/names/n79070061","Cocteau, Jean, 1889-1963","http://id.loc.gov/authorities/names/n79007043","Motion picture authorship","http://id.loc.gov/authorities/subjects/sh85088030","narv_#50-27LectureOrigTestamentOfOrpheusLuciferRising","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","","","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","1975-11-03","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","","","","","1086109","4969","%2350-27 lecture orig. Testament of Orpheus%2BLucifer Rising.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1086109~131839"
"narv_#50-28LectureOrigChaplinAndBroughton.mp3","https://ark.colorado.edu/ark:/47540/nk9k702164rv","Stan Brakhage on Charlie Chaplin and James Broughton - Part 1","Stan Brakhage discusses some of the class requirements and whether the class will give credit hours. He then gives a biography of Charlie Chaplin and some of the inspirations in his films. Brakhage describes the origin of slapstick comedy and its relationship to James Broughton. He then talks about Chaplin's parents. He notes Chaplin's process to becoming an artist and remarks that comics tend to do their job ""for their mother."" Brakhage ends with some personal stories about Broughton. Continued on 'Stan Brakhage on Charlie Chaplin and James Broughton - Part 2.'","Abstract","00:04 Stan Brakhage begins 1:17:03 Brakhage ends 1:17:09 Questions from the audience begin 1:29:07 Questions from the audience end 1:29:14 Brakhage begins 1:34:20 End","SegmentSequence","Course title: History of Film: ""I as Eye"" (Film and First Person Singular) - The School of the Art Institute of Chicago","Venue","Artists","http://id.loc.gov/authorities/subjects/sh85008276","","","","","","","","","","","","","","","","","","","","","Chaplin, Charlie, 1889-1977","http://id.loc.gov/authorities/names/n79126907","Broughton, James, 1913-1999","http://id.loc.gov/authorities/names/n81070540","Slapstick comedy films","http://id.loc.gov/authorities/subjects/sh2019000547","","","","","","","","","","","narv_#50-28LectureOrigChaplinAndBroughton","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","","","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","1975-11-17","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","","","","","1086111","4969","%2350-28 lecture orig. Chaplin and Broughton.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1086111~131840"
"narv_#50-29LectureOrigChaplinBroughtonEnd.mp3","https://ark.colorado.edu/ark:/47540/fg197g09g9qd","Stan Brakhage on Charlie Chaplin and James Broughton - Part 2","Continues 'Stan Brakhage on Charlie Chaplin and James Broughton - Part 1.' Stan Brakhage describes some of James Broughton's art, including his poetry and films. Then he describes Broughton's personality and mannerisms. Brakhage notes the relationship between sex, love, and death.","Abstract","00:00 Stan Brakhage begins 16:45 End","SegmentSequence","Course title: History of Film: ""I as Eye"" (Film and First Person Singular) - The School of the Art Institute of Chicago","Venue","Broughton, James, 1913-1999","http://id.loc.gov/authorities/names/n81070540","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","narv_#50-29LectureOrigChaplinBroughtonEnd","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","","","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","1975-11-17","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","","","","","1086113","4969","%2350-29 lecture Orig. Chaplin%2BBroughton%28end%29.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1086113~131841"
"narv_#50-2MichaelMcCluresinging.mp3","https://ark.colorado.edu/ark:/47540/1q0z7n02q8mp","Michael McClure singing","Michael McClure plays his guitar. He sings two songs.","Abstract","00:06 Music begins 00:46 Music ends 00:51 Stan Brakhage begins 01:00 Brakhage ends 01:03 Music begins 07:25 Music ends 07:35 Music begins 15:52 End","SegmentSequence","","","Poets -- 20th century","local","","","","","","","","","","","","","","","","","","","","","McClure, Michael","http://id.loc.gov/authorities/names/n79032189","Music -- 20th century -- Miscellanea","local","Singing -- United States -- 1960-1970","local","","","","","","","","","","","narv_#50-2MichaelMcCluresinging","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","McClure, Michael","http://id.loc.gov/authorities/names/n79032189","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","Undated","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","","","","","1086093","4969","%2350-2  Michael McClure singing.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1086093~131831"
"narv_#50-30LectureLevittLoebAgeeDeSica.mp3","https://ark.colorado.edu/ark:/47540/9k1n0d2992zs","Stan Brakhage on Italian Neorealism","Stan Brakhage mentions that there are very few collaborative underground films and how collaborative films only possess the style of a single director. Then he notes some of the works of James Agee. He also mentions Helen Levitt's still photography and argues that 'In the Street' possesses her style. He compares the portrayal of the slums in 'The Bicycle Thief' and 'In the Street.' Brakhage tells some stories about Leni Riefenstahl. He gives biographies of Vittorio De Sica and Roberto Rossellini and how 'Rome, Open City' started their careers in Italian Neorealism. He then describes the importance of Italian Neorealism. Note: this recording is identical to the one titled Lecture Original Levitt Loeb Agee De Sica.","Abstract","00:00 Stan Brakhage begins 42:22 Brakhage ends 42:23 Questions from the audience begin 51:13 Questions from the audience end 51:14 Brakhage begins 1:27:25 End","SegmentSequence","Course title: History of Film: ""I as Eye"" (Film and First Person Singular) - The School of the Art Institute of Chicago","Venue","Motion pictures -- Production and direction","http://id.loc.gov/authorities/subjects/sh85088104","Agee, James, 1909-1955","http://id.loc.gov/authorities/names/n79039544","Levitt, Helen","http://id.loc.gov/authorities/names/n79099484","In the Street (Motion picture)","local","","","","","","","","","","","","","","","Ladri di biciclette (Motion picture)","http://id.loc.gov/authorities/names/n79015224","Riefenstahl, Leni","http://id.loc.gov/authorities/names/n78083380","De Sica, Vittorio, 1901-1974","http://id.loc.gov/authorities/names/n79004216","Rossellini, Roberto, 1906-1977","http://id.loc.gov/authorities/names/n80160075","Motion pictures -- Italy -- History -- 20th century","local","Neorealismo","local","Roma, città aperta (Motion picture)","http://id.loc.gov/authorities/names/n82255142","Motion picture authorship","http://id.loc.gov/authorities/subjects/sh85088030","narv_#50-30LectureLevittLoebAgeeDeSica","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","","","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","1976-03-22","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","","","","","1086117","4969","%2350-30 lecture Levitt%2C Loeb%2C Agee-DeSica.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1086117~131843"
"narv_#50-30LectureOrigLevittLoebAgeeDeSica.mp3","https://ark.colorado.edu/ark:/47540/1h6s2p50x861","Stan Brakhage on Italian Neorealism = DUP","Stan Brakhage mentions that there are very few collaborative underground films and how collaborative films only possess the style of a single director. Then he notes some of the works of James Agee. He also mentions Helen Levitt's still photography and argues that 'In the Street' possesses her style. He compares the portrayal of the slums in 'The Bicycle Thief' and 'In the Street.' Brakhage tells some stories about Leni Riefenstahl. He gives biographies of Vittorio De Sica and Roberto Rossellini and how 'Rome, Open City' started their careers in Italian Neorealism. He then describes the importance of Italian Neorealism. Note: this recording is identical to the one titled Lecture Original Levitt Loeb Agee De Sica.","Abstract","00:00 Stan Brakhage begins 42:22 Brakhage ends 42:23 Questions from the audience begin 51:13 Questions from the audience end 51:14 Brakhage begins 1:27:25 End","SegmentSequence","Course title: History of Film: ""I as Eye"" (Film and First Person Singular) - The School of the Art Institute of Chicago","Venue","Motion pictures -- Production and direction","http://id.loc.gov/authorities/subjects/sh85088104","Agee, James, 1909-1955","http://id.loc.gov/authorities/names/n79039544","Levitt, Helen","http://id.loc.gov/authorities/names/n79099484","Ladri di biciclette (Motion picture)","http://id.loc.gov/authorities/names/n79015224","","","","","","","","","","","","","","","Riefenstahl, Leni","http://id.loc.gov/authorities/names/n78083380","De Sica, Vittorio, 1901-1974","http://id.loc.gov/authorities/names/n79004216","Rossellini, Roberto, 1906-1977","http://id.loc.gov/authorities/names/n80160075","Motion pictures -- Italy -- History -- 20th century","local","Neorealismo","local","In the street (Motion picture)","local","Roma, città aperta (Motion picture)","http://id.loc.gov/authorities/names/n82255142","Motion picture authorship","http://id.loc.gov/authorities/subjects/sh85088030","narv_#50-30LectureOrigLevittLoebAgeeDeSica","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","","","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","1976-03-22","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","","","","","1086119","4969","%2350-30 lecture orig. Levitt%2CLoeb%2CAgee-DeSica.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1086119~131844"
"narv_#50-31LectureOrigDavisAndMenken.mp3","https://ark.colorado.edu/ark:/47540/w0561712s6wq","Stan Brakhage on James Davis","Stan Brakhage discusses dreams and the difficulty of trying to portray them in art. Then he describes James Davis' films, which consist of light refractions off of plastic sculptures. Brakhage gives a biography of Davis, which includes some of Brakhage's personal stories of Davis. He mentions Marie Menken and her work. Brakhage analyzes Davis' 'Reflections' and Menken's 'Moonplay.'","Abstract","00:00 Stan Brakhage begins 1:37:06 End","SegmentSequence","Course title: History of Film: ""I as Eye"" (Film and First Person Singular) - The School of the Art Institute of Chicago","Venue","Dreams in art","http://id.loc.gov/authorities/subjects/sh85039486","","","","","","","","","","","","","","","","","","","","","Davis, James Edward","http://id.loc.gov/authorities/names/n2009009065","Menken, Marie, 1909-1970","http://id.loc.gov/authorities/names/no2008152638","Reflections (Motion picture)","local","Moonplay (Motion picture)","local","Dreams in motion pictures","local","","","","","","","narv_#50-31LectureOrigDavisAndMenken","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","","","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","1976-03-08","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","","","","","1086121","4969","%2350-31 lecture Orig. Davis and Menken.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1086121~131845"
"narv_#50-32BrakhageFireWaterSalinaStarRouteBoulder.mp3","https://ark.colorado.edu/ark:/47540/9n1h2k1469ff","Sound recording - Colorado","Heavy wind is blowing in the background. A child can be heard babbling. This is followed by crackling noises of fire. The sounds of bubbling water and water draining can be heard. A scraping noise can be heard with the bubbling water.","Abstract","00:00 Audio clip begins 13:41 End","SegmentSequence","","","Sound in art","http://id.loc.gov/authorities/subjects/sh97001016","","","","","","","","","","","","","","","","","","","","","Nature sounds","http://id.loc.gov/authorities/subjects/sh85090292","","","","","","","","","","","","","","","narv_#50-32BrakhageFireWaterSalinaStarRouteBoulder","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","","","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","Undated","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","","","","","1086123","4969","%2350-32 Brakhage-fire%2Cwater%2CSalina Star Route Boulder.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1086123~131846"
"narv_#50-33DiscussionOfMakingTaggartsFinancedFilm1.mp3","https://ark.colorado.edu/ark:/47540/632r4855q5p0","Stan Brakhage on his film 'Unglassed Windows Cast a Terrible Reflection' - Part 1","Stan Brakhage describes his film 'Unglassed Windows Cast a Terrible Reflection' and summarizes its plot. He explains the symbolism behind the hand in the film. He mentions various themes in his film, including dreams, love, and ghosts. Note: The audio quality is poor in this video due to background noise. Continued on 'Stan Brakhage on his film 'Unglassed Windows Cast a Terrible Reflection' - Part 2.'","Abstract","00:00 Questions from the audience begin 06:46 Questions from the audience end 06:47 Stan Brakhage begins 13:58 Brakhage ends 13:59 Questions from the audience begin 29:54 End","SegmentSequence","","","Symbolism in motion pictures","http://id.loc.gov/authorities/subjects/sh97009144","","","","","","","","","","","","","","","","","","","","","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","Motion picture authorship","http://id.loc.gov/authorities/subjects/sh85088030","Unglassed windows cast a terrible reflection (Motion picture)","local","","","","","","","","","","","narv_#50-33DiscussionOfMakingTaggartsFinancedFilm1","Brakhage, Stan","http://id.loc.gov/authorities/names/n82017258http://id.loc.gov/authorities/names/n82017258","","","","","","","","","","","","","","","This Item is protected by copyright and/or related rights. You are free to use this Item in any way that is permitted by the copyright and related rights legislation that applies to your use. For other uses you need to obtain permission from the rights-holder(s).","http://rightsstatements.org/vocab/InC/1.0/","Undated","audio/mp3","Audio","http://id.loc.gov/vocabulary/resourceTypes/aud","English","http://id.loc.gov/vocabulary/iso639-2/eng","","","","","1086125","4969","%2350-33 Discussion of making Taggart%27s financed film -1.jpg","https://cudl.colorado.edu//luna/servlet/detail/UCBOULDERCB1~71~71~1086125~131847"
